ENSEMBL,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000270882.2,HIST2H4A,88.46945645,-0.015251212,0.85267778,-0.017886255,0.985729595,0.992417957
ENSG00000129562.10,DAD1,1892.646349,0.015271518,0.282860632,0.053989548,0.956943492,0.977403357
ENSG00000008441.16,NFIX,335.3900086,0.015331571,0.462860155,0.033123549,0.973576064,0.985959756
ENSG00000102081.13,FMR1,1399.383061,-0.015382394,0.282041737,-0.054539424,0.9565054,0.977107283
ENSG00000227372.11,TP73-AS1,649.2186496,-0.015394802,0.410649254,-0.037488932,0.970095165,0.984145134
ENSG00000128524.4,ATP6V1F,2145.262567,-0.015402535,0.259404855,-0.059376433,0.952652284,0.975389806
ENSG00000176101.11,SSNA1,582.1916399,0.015434784,0.265216143,0.058197001,0.953591709,0.975718352
ENSG00000269800.1,PLEKHA3P1,1.546172357,-0.01544244,1.129638417,-0.013670251,0.989093058,0.994023923
ENSG00000143674.10,MAP3K21,885.1698808,0.015459234,0.343954059,0.044945635,0.964150642,0.981305817
ENSG00000116266.10,STXBP3,1182.256728,-0.015560497,0.272617713,-0.057078086,0.954482993,0.976288821
ENSG00000100321.14,SYNGR1,862.1988976,0.015563328,0.376680636,0.041317037,0.967043151,0.982543265
ENSG00000144306.14,SCRN3,327.7085886,-0.015608928,0.304234047,-0.051305658,0.95908196,0.978219731
ENSG00000171109.18,MFN1,945.0981222,0.015639017,0.255711254,0.061158891,0.951232669,0.974703923
ENSG00000133641.17,C12orf29,412.8642826,-0.015647375,0.210412093,-0.074365378,0.940719657,0.969825001
ENSG00000074696.12,HACD3,2595.400837,0.015647608,0.28942047,0.054065313,0.956883128,0.977379559
ENSG00000185186.8,LINC00313,13.44696623,0.015718196,1.049368716,0.014978716,0.98804916,0.993512159
ENSG00000275052.4,PPP4R3B,1893.271885,-0.015741216,0.186495683,-0.084405258,0.932734227,0.965768869
ENSG00000196204.11,RNF216P1,401.9135539,0.01576584,0.25314101,0.062280862,0.950339169,0.974457932
ENSG00000237133.1,AC020594.5,5.134690453,-0.015776306,1.094714527,-0.014411342,0.98850181,0.993815728
ENSG00000175110.11,MRPS22,545.8545668,-0.015830453,0.249860051,-0.063357279,0.949482006,0.973882431
ENSG00000051108.14,HERPUD1,2900.418459,-0.015851679,0.277942158,-0.057032296,0.954519469,0.976288821
ENSG00000144061.12,NPHP1,386.8332743,0.015912637,0.240495317,0.066166101,0.947245585,0.972554329
ENSG00000115594.11,IL1R1,1805.775208,0.01593581,0.684501214,0.023280909,0.9814262,0.990061549
ENSG00000171988.18,JMJD1C,1345.624776,0.01598195,0.310370161,0.05149319,0.958932528,0.978194828
ENSG00000152760.9,TCTEX1D1,10.84816087,-0.016051957,0.660913279,-0.024287539,0.980623253,0.989630125
ENSG00000158483.15,FAM86C1,147.5986299,0.016128165,0.395333766,0.040796326,0.967458268,0.982775705
ENSG00000231244.1,PSMC1P3,3.325273416,-0.016208244,0.834634073,-0.019419581,0.98450639,0.991499905
ENSG00000141627.13,DYM,650.8288144,0.016240934,0.273817877,0.059312907,0.952702881,0.975389806
ENSG00000171055.14,FEZ2,914.4962216,-0.016249999,0.240226388,-0.06764452,0.946068615,0.972186669
ENSG00000108352.11,RAPGEFL1,116.1839647,-0.016351369,0.459576134,-0.035579239,0.971617863,0.984990122
ENSG00000178233.17,TMEM151B,4.957392983,0.016392042,0.990504697,0.016549181,0.986796266,0.992909212
ENSG00000160404.17,TOR2A,245.1683603,0.016417354,0.328063099,0.050043282,0.960087897,0.978730537
