"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Fl_1_S1","Fl_2_S2","Fl_3_S3"
"ENSMUSG00000005103","Wdr1",-0.478082685998475,8.45253070809752,29.8101789487974,4.76483707439271e-08,1.6798043198638e-07,8.06748321072713,8.30861008129079,8.32001769577453,8.61051632521512,8.61872288991313,8.6901911029366
"ENSMUSG00000034903","Cobll1",0.4688004455859,7.23579623830458,29.7991845225836,4.79193503265395e-08,1.68880359560647e-07,7.47536909937033,7.38464716486671,7.54002629147029,6.9547428154817,7.04616974349631,6.871478409123
"ENSMUSG00000022332","Khdrbs3",1.29760212404653,2.56425668599373,29.7846006978882,4.82811816837029e-08,1.70099777750941e-07,2.8410689004035,3.59878465327382,3.2802218095717,1.17942298723154,1.3128636413251,1.29083396033576
"ENSMUSG00000049950","Rpp38",-0.601484075583698,4.17176144791788,29.7706738789669,4.86292672674418e-08,1.71269984881301e-07,3.9455892157057,3.89704838517366,3.86916454372783,4.40971139129845,4.40494195383053,4.36421650701775
"ENSMUSG00000041153","Osgin2",-0.657387549375929,3.79377949991989,29.7523472989838,4.90911542501901e-08,1.72840097292923e-07,3.62305291176061,3.49133906102733,3.38961246908638,4.09736579073044,3.97240221153343,4.01152089821448
"ENSMUSG00000028251","Tstd3",-0.96774994239549,2.89068723108884,29.7410527709577,4.93779980943133e-08,1.73793091524484e-07,2.54081006844084,2.70200493289515,2.47100058472927,3.02354766239925,3.24413832999238,3.16439510035979
"ENSMUSG00000003348","Mob3a",-0.736279958537504,4.0069349440241,29.7043466816078,5.03218597495766e-08,1.77057175269459e-07,3.6345421747265,3.87584240343397,3.76338095934319,4.25965129847467,4.13908412977527,4.24375131836422
"ENSMUSG00000045757","Zfp764",0.91306341729121,2.75775870831194,29.6938957155776,5.05938873713681e-08,1.77956052144907e-07,3.52357461978921,3.11059767503581,3.14946191096123,2.00895202483435,1.87686756094745,1.99124994723857
"ENSMUSG00000027166","Dnajc24",-0.634613418264311,3.96184651694226,29.690689246661,5.06776433649834e-08,1.78192341684726e-07,3.82039621720288,3.61423295626051,3.7263229427365,4.11803701019358,4.1333486179202,4.23452891077981
"ENSMUSG00000032594","Ip6k1",0.477795608637836,6.01382468867523,29.6782137366373,5.10048392811182e-08,1.7928417836257e-07,6.36739137338635,6.18776068259162,6.20419247718968,5.70411224609103,5.72390310250485,5.74502024502218
"ENSMUSG00000028044","Cks1b",-0.466358503627795,6.66410253092663,29.664987769082,5.13540291538721e-08,1.80452585608033e-07,6.39692546449326,6.51369834985639,6.26861915506973,6.85513914291926,6.85336523243433,6.95713765015492
"ENSMUSG00000034190","Chmp7",0.483442980533992,5.30507699961351,29.6595950322346,5.14970938077493e-08,1.80896163836437e-07,5.57056004779632,5.58577666163848,5.49779553695739,5.01661824425889,4.95450154072739,5.05791581005259
"ENSMUSG00000036327","Qsox2",-0.585285334206999,5.07163049528816,29.6474920185535,5.18196317714181e-08,1.81969690268204e-07,4.74606370936792,4.9655614597062,4.83689267955867,5.2742873292748,5.26759588778927,5.24098678913084
"ENSMUSG00000021371","Mcur1",0.707612054369441,4.06389444762379,29.6406835309663,5.2001962565892e-08,1.82550325153747e-07,4.33643518693997,4.48667885571504,4.51346474281596,3.46793679441791,3.608983041346,3.58298538098259
"ENSMUSG00000038187","Btbd10",-0.510944931831236,5.33470696910542,29.6006511389566,5.30871025459431e-08,1.86298813341934e-07,5.04764981329926,5.18833570322521,5.28492036394924,5.4547445784826,5.46545550737024,5.5091794816275
"ENSMUSG00000023904","Hcfc1r1",0.495745401360878,5.69892211798721,29.5807247087202,5.36356670739955e-08,1.88162462590854e-07,5.7573103885171,5.9729016768206,5.8826191713124,5.53475848771314,5.44592167935994,5.5256559786309
"ENSMUSG00000031176","Dynlt3",0.418164211441093,6.96892953617447,29.5757073669626,5.37746847034804e-08,1.88588608769237e-07,7.15505132344816,7.09185617921519,7.10306105322352,6.81297204310029,6.81670600271767,6.78304850441267
"ENSMUSG00000036941","Elac1",-0.966748524819748,2.65393004305635,29.557220781089,5.42900232654621e-08,1.9033380955005e-07,2.6505086625549,2.35496224020162,2.33538332442924,3.04529594945618,2.62163697515525,2.73809566322204
"ENSMUSG00000038774","Ascc3",-0.458208656966767,6.012080979304,29.5551252924228,5.43487491916683e-08,1.90477569305915e-07,5.66974950070514,5.88541813932536,6.05442511682524,6.12056983510828,6.14320985846172,6.13939734027996
"ENSMUSG00000022246","Rai14",0.418433168631714,7.03427724506376,29.5505235270885,5.44779367996584e-08,1.90868103865557e-07,7.15272262958513,7.26292162205775,7.35143891828596,6.75228360298691,6.79234529262956,6.76661371692766
"ENSMUSG00000006599","Gtf2h1",-0.42630452982249,6.42838319755017,29.5206045842121,5.53254017953286e-08,1.93774110100354e-07,6.16109135179811,6.18862087950175,6.14223503166723,6.66410646725408,6.65997702690299,6.62792617401794
"ENSMUSG00000006471","Ndor1",-0.78697815940144,4.17996604426104,29.4926429687623,5.61293617387096e-08,1.96525898804361e-07,4.30562284394346,3.6987798390379,3.5107931557891,4.43258376620454,4.47464247984774,4.34720348359408
