"","GeneName","logFC","logCPM","LR","PValue","FDR","Fl_1_S1","Fl_2_S2","Fl_3_S3","Fl_gHira_1_S7","Fl_gHira_2_S8","Fl_gHira_3_S9"
"ENSMUSG00000030744","Rps3",0.0989945454287866,10.2724142095617,1.59416496926087,0.206732083771516,0.23011995587496,10.2334647218294,10.1458388786665,10.2290264575035,10.3731963125681,10.3670271606412,10.2738822387643
"ENSMUSG00000022505","Emp2",0.0434048305224553,7.1485594237084,1.59341013905593,0.206839595924633,0.230215153065595,7.14064871042469,7.12310301792414,7.10383013614587,7.22578860444302,7.12740256674258,7.16701109515078
"ENSMUSG00000022043","Trim35",0.0566919422742188,6.04268539523821,1.59120765821227,0.207153677988385,0.230540220565579,5.97772117945062,6.04999405223604,6.07387695783019,6.09592140890844,5.99182617083829,6.06298250282731
"ENSMUSG00000039164","Naif1",0.087004381417246,3.9661815375184,1.58633859349163,0.207850027602943,0.231284271502675,3.9621337780917,4.03333806011611,3.90036202416329,3.90775230862825,3.96501894603602,4.00638307035645
"ENSMUSG00000055334","Snupn",-0.0934802344545275,4.02958991690829,1.5862240994714,0.207866435243927,0.231284271502675,4.11917344416016,4.00846800872075,4.23251559559424,3.86256613261952,3.88484059502516,4.00379776239241
"ENSMUSG00000017765","Slc12a4",0.0486265185575829,7.03169346128596,1.57936496773361,0.208852188476077,0.232356382694585,7.01081352857395,7.05566272507346,6.9772165436481,7.10400324636759,7.04841671771577,6.9941416913064
"ENSMUSG00000025218","Poll",-0.0591811745612256,5.53768932455692,1.57189827900528,0.209931551622928,0.233532399738649,5.60528657784749,5.59429541337583,5.58112228850815,5.48667780065628,5.42391398453342,5.50889888168037
"ENSMUSG00000014349","Ube2z",-0.0436889386240831,7.63411243105259,1.56190909722223,0.211385910537806,0.235125275969007,7.58149052936243,7.57979189393065,7.67353378732535,7.66557829959943,7.64783569208042,7.6557735368704
"ENSMUSG00000004446","Bid",0.0454796070843141,6.77217031584638,1.55801461271923,0.21195615606142,0.235734515861787,6.80613583698338,6.73639578309507,6.74292586110254,6.79303480250784,6.76987018235202,6.781945184881
"ENSMUSG00000060657","Marf1",-0.0583042287165879,5.87601267472121,1.55784758802776,0.21198065324636,0.235736717530926,5.90964191979346,5.93509345013649,5.91542109306798,5.84450678519283,5.70506129737637,5.91122334906039
"ENSMUSG00000024165","Jpt2",0.0486875227773691,8.23083281043038,1.55649105141879,0.2121797383076,0.235933051549895,8.17801622991589,8.14892072717545,8.20281671210342,8.23916207726155,8.26430891470229,8.34306344259913
"ENSMUSG00000027746","Ufm1",-0.0495042359402895,6.25599520748465,1.55184047167498,0.212863942972791,0.236668714845173,6.27116322645701,6.29590536635735,6.16979666729954,6.25458823628689,6.29072429281433,6.25022054008713
"ENSMUSG00000026669","Mcm10",-0.0469524607282123,6.65226373179393,1.54423606165999,0.213988375586214,0.237893628970169,6.69864934459711,6.62218357319809,6.68651181735568,6.58937986237515,6.66998132394695,6.6430655141337
"ENSMUSG00000047635","2810006K23Rik",0.0973731707771839,3.91963946682374,1.54398383535222,0.214025791996898,0.237909961394725,3.81151623000475,4.01784459087364,3.9273426039045,3.85419621781678,4.01462120486038,3.90473077922895
