"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Cl19_gHira_1_S10","Cl19_gHira_2_S11","Cl19_gHira_3_S12"
"ENSMUSG00000039754","Alkbh4",-0.0935149261098197,2.91469375631205,0.472403519270145,0.491883510456621,0.61105970256489,3.30179699223234,2.91671040812497,2.85374362213707,2.80853776570477,2.64949914642907,2.85384540839174
"ENSMUSG00000038145","Snrk",-0.0773703176743323,4.36901373304631,0.472285784336934,0.491937476126166,0.61105970256489,4.37627130866198,4.53096644196958,4.45952160186721,4.22221839516814,4.28778454421163,4.32830612436326
"ENSMUSG00000034032","Rpap1",-0.0528607885602879,6.25391264968721,0.47228188821243,0.491939262145761,0.61105970256489,6.32127762878467,6.25358806489311,6.2609804669828,6.23527122386435,6.25185344933494,6.19720429988423
"ENSMUSG00000028743","Akr7a5",0.0827951209395024,4.35885293990135,0.472000791751507,0.492068147997769,0.61112118191714,4.31806142167391,4.53908430916743,4.26360413617283,4.23940435986693,4.43466513580566,4.35072468301781
"ENSMUSG00000018974","Sart3",-0.0517776084054364,7.1328909186574,0.471923288831885,0.492103693883437,0.61112118191714,7.19817114639033,7.16252735739774,7.13980116092853,7.14622382222837,7.0425929427281,7.10260829495853
"ENSMUSG00000044496","2510039O18Rik",-0.0624796351272572,5.62491019187651,0.470403684394623,0.492801513462037,0.611916311788335,5.64966088310992,5.70261375920679,5.72690401054659,5.50793817169752,5.60995568216972,5.54328486577954
"ENSMUSG00000032396","Dis3l",-0.0657638795332161,5.54834786878914,0.469720659404567,0.493115706345581,0.612234958701566,5.4243063148549,5.64234702123339,5.68244090606655,5.52292893187355,5.4956096445615,5.51005666225953
"ENSMUSG00000048429","Timm29",-0.0600274098154684,5.53794674576237,0.469358571173762,0.493282403863759,0.612370427584312,5.51622927015987,5.61316624721485,5.59490297312704,5.51147944862564,5.50672294529817,5.48240430448291
"ENSMUSG00000079414","Gm11110",0.0970342331171105,2.3804127379563,0.469082320679802,0.493409647111779,0.612452266812604,2.40469642127197,2.4613962074804,2.35722203284833,2.27052369799704,2.39687087638921,2.40662057311634
"ENSMUSG00000028954","Nub1",0.0561048339396305,6.94392856628809,0.468965406476308,0.493463515332931,0.612452266812604,6.77343983387865,6.9812634810909,6.92488574510775,6.96599615184184,7.0280970517755,6.97763392296172
"ENSMUSG00000030432","Rpl28",0.057249391332192,8.08266366055585,0.468589479027365,0.493636790782534,0.612595826021878,7.91855733556018,8.13474975372644,7.99476198221955,8.10761588221262,8.23625242171801,8.08331900328705
"ENSMUSG00000030652","Coq7",0.0699143428562471,4.72232462382567,0.46836435103569,0.493740607429992,0.612653164458639,4.67603418142196,4.79551203979708,4.63421174022392,4.69830575558193,4.74940737698427,4.77833693764599
"ENSMUSG00000019066","Rab3d",-0.104739118307078,4.04039473010877,0.468094918529199,0.493864903054692,0.61273589768797,3.92751983319655,4.36431331228642,4.11857336407948,3.78070147970958,4.00041332874625,4.01751319174941
"ENSMUSG00000053730","Tmem39b",0.0871809909732944,3.78206396326996,0.467785646512384,0.494007642348158,0.612841491919075,3.77662138936164,3.89301912123715,3.62726377295369,3.88812455159364,3.82605170605926,3.6527716022576
"ENSMUSG00000034681","Rnps1",0.0538861535485794,6.50405189773162,0.467008827975956,0.49436647553892,0.61321510566673,6.4973669241781,6.50013141493731,6.42867329621294,6.58618470712509,6.51844782839478,6.4875777780809
"ENSMUSG00000026956","Uap1l1",-0.0614719832116789,6.48502250903477,0.466182793173296,0.494748523652577,0.613617424833392,6.44610734148903,6.66065759560408,6.49506238441136,6.42888125775062,6.4932161908528,6.37177554882103
"ENSMUSG00000034757","Tmub2",0.0550403909538694,5.82948948454398,0.465918407715708,0.494870909020331,0.613697638078391,5.9371590188343,5.77657477781444,5.7164411803543,5.81783612578309,5.89103490903967,5.82528829430097
"ENSMUSG00000034320","Slc26a2",0.0995467931998672,3.08127754145269,0.465266859864451,0.495172731243186,0.614000329295714,3.06749554947773,2.85735170687169,3.25750441532648,2.95617185737016,3.26428269664272,3.04469214573238
"ENSMUSG00000037072","Selenof",-0.0510759585756837,7.63154730028412,0.46453400461418,0.495512588458652,0.614316639193357,7.63814968142602,7.64893511659062,7.62552075533596,7.5927654768206,7.62997730058973,7.65348165355566
"ENSMUSG00000063632","Sox11",0.0583500484292019,6.59538087626947,0.464467683531213,0.495543363833047,0.614316639193357,6.70240472058324,6.45436476631181,6.51391439597026,6.58240149852993,6.61689074237019,6.68465508450029
"ENSMUSG00000047459","Dynlrb1",0.0513675383281245,6.93008414535722,0.463665025209131,0.495916081573918,0.61470703012671,6.84485627940647,6.95369353058894,6.87071551740011,6.94650689816265,7.01128805363863,6.94761300541196
"ENSMUSG00000024008","Cpne5",0.112625535330664,2.95493534903584,0.463382184325451,0.496047532442065,0.614737555922455,2.68818063675279,3.19536591068098,3.09253790452088,2.89783611504223,2.90230872301135,2.93768811471238
"ENSMUSG00000101013","A630072M18Rik",-0.0959610367575967,2.4641832146015,0.463326865975187,0.496073248620165,0.614737555922455,2.71007399989103,2.528170274328,2.42047011396429,2.30358095134032,2.33170650420655,2.45915217105421
"ENSMUSG00000037210","Fam193a",0.0563893222046304,6.14056495036151,0.463238926134916,0.496114134373379,0.614737555922455,6.18981820018484,6.03279215543411,6.19015487413366,6.14125408692308,6.11734531958647,6.16435805300112
"ENSMUSG00000068742","Cry2",-0.0722957430440235,4.49197694917724,0.461945374391024,0.496716200618915,0.615411869670459,4.74658301019251,4.41224213012924,4.51611646966981,4.3835752325459,4.48797663260501,4.36456141233465
"ENSMUSG00000036678","Aaas",-0.0515801008354655,7.06998782237787,0.461452239590159,0.496946048095941,0.615581565653939,7.14826175281493,7.08424887221692,7.01430168950636,7.03220702089417,7.08933942674145,7.04749084511902
"ENSMUSG00000057541","Pus7",-0.053484254806703,6.30695804850489,0.461403139689227,0.496968943120093,0.615581565653939,6.32009178366169,6.35363578224414,6.38375595992833,6.29248110624614,6.20030602975139,6.28494765316622
"ENSMUSG00000051316","Taf7",0.0979667392272083,2.55824115198205,0.461005043020421,0.497154639249561,0.615723222356053,2.81481830082628,2.24025024024138,2.55808378477535,2.54386372477305,2.47941650174319,2.61544908188654
"ENSMUSG00000031482","Slc25a15",0.0674129619205201,4.83562183703592,0.460909748678809,0.497199107614391,0.615723222356053,4.74481650192655,4.84218679670568,4.82938851836111,4.84305416200384,4.90683568594935,4.84499698177712
"ENSMUSG00000044533","Rps2",0.0692794754487458,10.7175960811337,0.460487669584609,0.49739614832818,0.615877803917162,10.5113024816524,10.7232314005587,10.612207331101,10.8057438415004,10.8366096581499,10.7890725706578
"ENSMUSG00000037805","Rpl10a",-0.0869349424680362,8.05973865166862,0.46039427752315,0.497439764702323,0.615877803917162,8.41817460096356,7.90488521537973,7.81593142241698,8.03180991266851,8.07346996155214,8.03611670488849
"ENSMUSG00000057836","Xlr3a",-0.100633180091293,3.43392379297106,0.45938467688676,0.497911685703115,0.616390321975195,3.93992503643866,3.20899840822163,3.29173602779119,3.39622885735452,3.25845028375389,3.33065410132165
"ENSMUSG00000009376","Met",0.0514621794248645,8.57792605363073,0.458430645886036,0.498358327587361,0.616871430050517,8.38694346712285,8.55754175964549,8.68978978858612,8.5858980892641,8.59527957011216,8.634501371898
"ENSMUSG00000031778","Cx3cl1",0.0824440366551871,4.94852596178243,0.458191157805008,0.498470553445053,0.616938531812697,4.80029873027305,4.93123670209975,5.08824719555169,4.85703960841768,5.01456847895619,4.98772547141627
